timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
1438175394808607,7,51.760606,-1.261262,61.750051,2.546263,1.413203,4.047213,5735842.903868,619996.670010,-61.750051,30U
1438175395008607,7,51.760606,-1.261262,61.752878,2.546277,1.413229,4.047205,5735842.898984,619996.667277,-61.752878,30U
1438175395208606,7,51.760606,-1.261262,61.759544,2.546356,1.413373,4.047343,5735842.901558,619996.672834,-61.759544,30U
1438175395408606,7,51.760605,-1.261262,61.769132,2.546375,1.413407,4.047389,5735842.880570,619996.682344,-61.769132,30U
1438175395608605,7,51.760605,-1.261262,61.758091,2.546483,1.413386,4.047250,5735842.885955,619996.676677,-61.758091,30U
1438175395808605,7,51.760605,-1.261262,61.746597,2.546399,1.413450,4.047334,5735842.881812,619996.669387,-61.746597,30U
1438175396008605,7,51.760605,-1.261262,61.751649,2.546291,1.413388,4.047233,5735842.869931,619996.677940,-61.751649,30U
1438175396208604,7,51.760605,-1.261262,61.735642,2.546548,1.413404,4.047209,5735842.873515,619996.686384,-61.735642,30U
1438175396408604,7,51.760605,-1.261262,61.750633,2.546546,1.413614,4.047471,5735842.854938,619996.687295,-61.750633,30U
1438175396608603,7,51.760605,-1.261262,61.751801,2.546543,1.413533,4.047271,5735842.855972,619996.682598,-61.751801,30U
1438175396808603,7,51.760605,-1.261262,61.753239,2.546510,1.413643,4.047469,5735842.856052,619996.679923,-61.753239,30U
1438175397008602,7,51.760605,-1.261262,61.750288,2.546416,1.413548,4.047256,5735842.843795,619996.679367,-61.750288,30U
1438175397208602,7,51.760605,-1.261262,61.758641,2.546555,1.413653,4.047330,5735842.833826,619996.674929,-61.758641,30U
1438175397408602,7,51.760605,-1.261262,61.754237,2.546559,1.413701,4.047367,5735842.836254,619996.680189,-61.754237,30U
1438175397608601,7,51.760605,-1.261262,61.757558,2.546536,1.413744,4.047366,5735842.836484,619996.682822,-61.757558,30U
1438175397808601,7,51.760605,-1.261262,61.759994,2.546538,1.413795,4.047442,5735842.836201,619996.676097,-61.759994,30U
1438175398008600,7,51.760605,-1.261262,61.755593,2.546511,1.413820,4.047433,5735842.836565,619996.669996,-61.755593,30U
1438175398208600,7,51.760605,-1.261262,61.762789,2.546732,1.413828,4.047360,5735842.835913,619996.669176,-61.762789,30U
1438175398408599,7,51.760605,-1.261262,61.750408,2.546770,1.413878,4.047365,5735842.813625,619996.677275,-61.750408,30U
1438175398608599,7,51.760605,-1.261262,61.767188,2.546740,1.413916,4.047375,5735842.814589,619996.679528,-61.767188,30U
